first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased,weekly_first_dose,weekly_second_dose,weekly_third_dose,weekly_fourth_dose
19/04/2020,25/04/2020,70-74,לא ידוע,7,0,0,,,,
19/04/2020,25/04/2020,70-74,זכר,1309,7,7,,,,
19/04/2020,25/04/2020,70-74,נקבה,1480,7,7,,,,
19/04/2020,25/04/2020,75-79,זכר,903,7,7,,,,
19/04/2020,25/04/2020,75-79,נקבה,1297,17,7,,,,
19/04/2020,25/04/2020,75-79,לא ידוע,7,0,0,,,,
19/04/2020,25/04/2020,80+,זכר,2620,24,7,,,,
19/04/2020,25/04/2020,80+,נקבה,5953,38,7,,,,
19/04/2020,25/04/2020,80+,לא ידוע,24,0,0,,,,
26/04/2020,02/05/2020,0-19,זכר,4384,164,0,,,,
26/04/2020,02/05/2020,0-19,לא ידוע,82,7,0,,,,
26/04/2020,02/05/2020,0-19,נקבה,2916,136,0,,,,
26/04/2020,02/05/2020,20-24,זכר,2529,65,0,,,,
26/04/2020,02/05/2020,20-24,לא ידוע,7,7,0,,,,
26/04/2020,02/05/2020,20-24,נקבה,2263,41,0,,,,
26/04/2020,02/05/2020,25-29,זכר,2114,32,0,,,,
26/04/2020,02/05/2020,25-29,נקבה,2290,32,0,,,,
26/04/2020,02/05/2020,25-29,לא ידוע,7,0,0,,,,
26/04/2020,02/05/2020,30-34,זכר,1942,22,0,,,,
26/04/2020,02/05/2020,30-34,נקבה,2092,23,0,,,,
26/04/2020,02/05/2020,30-34,לא ידוע,7,0,0,,,,
26/04/2020,02/05/2020,35-39,זכר,1781,7,0,,,,
26/04/2020,02/05/2020,35-39,לא ידוע,7,0,0,,,,
26/04/2020,02/05/2020,35-39,נקבה,1937,21,0,,,,
26/04/2020,02/05/2020,40-44,לא ידוע,7,0,0,,,,
26/04/2020,02/05/2020,40-44,נקבה,1846,19,0,,,,
26/04/2020,02/05/2020,40-44,זכר,1665,7,0,,,,
26/04/2020,02/05/2020,45-49,לא ידוע,0,0,0,,,,
26/04/2020,02/05/2020,45-49,נקבה,1888,17,0,,,,
26/04/2020,02/05/2020,45-49,זכר,1576,16,0,,,,
26/04/2020,02/05/2020,50-54,זכר,1466,7,0,,,,
26/04/2020,02/05/2020,50-54,נקבה,1690,17,0,,,,
26/04/2020,02/05/2020,50-54,לא ידוע,7,0,0,,,,
26/04/2020,02/05/2020,55-59,זכר,1276,7,0,,,,
26/04/2020,02/05/2020,55-59,לא ידוע,7,7,0,,,,
26/04/2020,02/05/2020,55-59,נקבה,1648,16,0,,,,
26/04/2020,02/05/2020,60-64,לא ידוע,7,0,0,,,,
26/04/2020,02/05/2020,60-64,זכר,1239,16,7,,,,
26/04/2020,02/05/2020,60-64,נקבה,1493,7,7,,,,
26/04/2020,02/05/2020,65-69,נקבה,1210,7,7,,,,
26/04/2020,02/05/2020,65-69,זכר,1119,7,7,,,,
26/04/2020,02/05/2020,65-69,לא ידוע,7,0,0,,,,
26/04/2020,02/05/2020,70-74,לא ידוע,7,7,0,,,,
26/04/2020,02/05/2020,70-74,זכר,1008,7,7,,,,
26/04/2020,02/05/2020,70-74,נקבה,1092,7,7,,,,
26/04/2020,02/05/2020,75-79,זכר,682,7,7,,,,
26/04/2020,02/05/2020,75-79,נקבה,864,7,0,,,,
26/04/2020,02/05/2020,75-79,לא ידוע,7,0,0,,,,
26/04/2020,02/05/2020,80+,זכר,1963,7,15,,,,
26/04/2020,02/05/2020,80+,נקבה,4297,18,7,,,,
26/04/2020,02/05/2020,80+,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,0-19,זכר,3043,50,0,,,,
03/05/2020,09/05/2020,0-19,לא ידוע,16,0,0,,,,
03/05/2020,09/05/2020,0-19,נקבה,2411,42,0,,,,
03/05/2020,09/05/2020,20-24,זכר,1654,25,0,,,,
03/05/2020,09/05/2020,20-24,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,20-24,נקבה,1845,19,0,,,,
03/05/2020,09/05/2020,25-29,זכר,1820,7,0,,,,
03/05/2020,09/05/2020,25-29,נקבה,2252,7,0,,,,
03/05/2020,09/05/2020,25-29,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,30-34,זכר,1770,7,0,,,,
03/05/2020,09/05/2020,30-34,נקבה,2110,7,0,,,,
03/05/2020,09/05/2020,30-34,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,35-39,זכר,1714,7,0,,,,
03/05/2020,09/05/2020,35-39,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,35-39,נקבה,2123,7,0,,,,
